,dataSource,reviewId,searchKeyword,reviewSubject,reviewTarget,reviewUrl,author,reviewDate,rating,reviewText
0,GoogleMap,1,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,조현오,,,돗ㄷㅅ짇슷
1,GoogleMap,2,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,권성진,,,냄세남.
2,GoogleMap,3,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,조현겸,,,
3,GoogleMap,4,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,정일환,,,
4,GoogleMap,5,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,김선재,,,
5,GoogleMap,6,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,KH L,,,
6,GoogleMap,7,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,멍쭈꾸미,,,
7,GoogleMap,8,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,한미석,,,
8,GoogleMap,9,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,Jeong Won Sik,,,
9,GoogleMap,10,김천여관,숙박,새태양여인숙,https://www.google.com/maps/place/%EC%83%88%ED%83%9C%EC%96%91%EC%97%AC%EC%9D%B8%EC%88%99/data=!4m5!3m4!1s0x35659866be0cae0d:0xfb3b51441ae5fd87!8m2!3d36.1227301!4d128.1119285?authuser=0&hl=ko&rclk=1,누리미,,,
